,company,mkt_cap,industry,return
2330,A326030,11590361000.0,Pharmaceuticals & Biotechnology,-0.010033444816053505
950,A068760,6682265000.0,Pharmaceuticals & Biotechnology,-0.036654662396686244
2293,A330590,875322000.0,Real Estate,-0.005859418903030433
2343,A348950,846216000.0,Real Estate,-0.001953125
266,A210980,828921000.0,Real Estate,-0.020201997752201217
2384,A365550,799385000.0,Real Estate,0.009041591320072317
1346,A034830,513816000.0,Real Estate,0.007425742574257432
444,A139480,4724951000.0,Retailing,-0.00877192982456143
1792,A004990,3556423000.0,Retailing,-0.027259666602644672
1910,A008770,3249744000.0,Retailing,-0.010752698597689125
1538,A023530,3097619000.0,Retailing,-0.02666661148674143
20,A282330,2851844000.0,Retailing,0.044303797468354444
1537,A000660,89544291000.0,Semiconductors,-0.04280158127048883
1593,A000990,2970266000.0,Semiconductors,0.010574111571717504
140,A240810,2454195000.0,Semiconductors,-0.038461538461538436
1074,A058470,2364092000.0,Semiconductors,-0.023914367888403842
2342,A357780,2178776000.0,Semiconductors,-0.020971688220901785
1414,A035420,58313505000.0,Software,0.039531451522222705
1405,A035720,40533915000.0,Software,-0.015053731705182427
1381,A036570,21251493000.0,Software,-0.010224926251501953
2076,A018260,16094582000.0,Software,-0.018867939926418886
111,A251270,11593524000.0,Software,0.03053435114503822
2068,A017670,20024936000.0,Telecommunication Services,-0.011952190593161105
2169,A030200,6188350000.0,Telecommunication Services,-0.014553014553014498
1478,A032640,5304828000.0,Telecommunication Services,-0.01619431358553225
1375,A036630,321174000.0,Telecommunication Services,-0.1398714490465709
1008,A065530,248971000.0,Telecommunication Services,-0.04365482233502538
791,A086280,7500000000.0,Transportation,-0.05437352245862881
659,A097950,6774384000.0,Transportation,-0.024918743228602436
1722,A003490,5165318000.0,Transportation,-0.024671077420249543
1974,A011200,4590505000.0,Transportation,-0.0035460750575154742
349,A180640,4114902000.0,Transportation,-0.017405072378908426
2046,A015760,15086156000.0,Utility,-0.02691510104718231
1385,A036460,2981710000.0,Utility,-0.04437865790088713
1162,A051600,1235250000.0,Utility,-0.009025270758122761
1504,A015350,598400000.0,Utility,0.0036900381733637744
2064,A017390,444000000.0,Utility,0.0056625060253252535
